Value,number
1.080000000000000000e+02,227
1.080000000000000000e+02,228
1.050000000000000000e+02,229
1.100000000000000000e+02,230
1.070000000000000000e+02,231
1.080000000000000000e+02,232
1.150000000000000000e+02,233
1.100000000000000000e+02,234
1.120000000000000000e+02,235
1.070000000000000000e+02,236
1.060000000000000000e+02,237
1.060000000000000000e+02,238
1.030000000000000000e+02,239
9.800000000000000000e+01,240
1.030000000000000000e+02,241
1.040000000000000000e+02,242
1.020000000000000000e+02,243
9.900000000000000000e+01,244
9.800000000000000000e+01,245
1.010000000000000000e+02,246
9.400000000000000000e+01,247
9.700000000000000000e+01,248
9.200000000000000000e+01,249
9.900000000000000000e+01,250
9.900000000000000000e+01,251
9.300000000000000000e+01,252
9.200000000000000000e+01,253
9.300000000000000000e+01,254
9.300000000000000000e+01,255
8.500000000000000000e+01,256
8.800000000000000000e+01,257
8.800000000000000000e+01,258
8.800000000000000000e+01,259
8.600000000000000000e+01,260
8.300000000000000000e+01,261
8.500000000000000000e+01,262
8.700000000000000000e+01,263
8.900000000000000000e+01,264
8.900000000000000000e+01,265
8.700000000000000000e+01,266
8.100000000000000000e+01,267
8.500000000000000000e+01,268
8.300000000000000000e+01,269
9.000000000000000000e+01,270
8.600000000000000000e+01,271
8.400000000000000000e+01,272
7.600000000000000000e+01,273
9.100000000000000000e+01,274
9.100000000000000000e+01,275
8.500000000000000000e+01,276
9.800000000000000000e+01,277
9.700000000000000000e+01,278
1.000000000000000000e+02,279
1.000000000000000000e+02,280
9.700000000000000000e+01,281
9.900000000000000000e+01,282
9.700000000000000000e+01,283
9.900000000000000000e+01,284
1.050000000000000000e+02,285
9.800000000000000000e+01,286
1.000000000000000000e+02,287
1.030000000000000000e+02,288
9.700000000000000000e+01,289
1.050000000000000000e+02,290
1.000000000000000000e+02,291
1.010000000000000000e+02,292
1.020000000000000000e+02,293
1.000000000000000000e+02,294
1.010000000000000000e+02,295
1.020000000000000000e+02,296
1.010000000000000000e+02,297
1.020000000000000000e+02,298
1.090000000000000000e+02,299
1.150000000000000000e+02,300
1.060000000000000000e+02,301
1.050000000000000000e+02,302
