Value,number
1.140000000000000000e+02,0
1.070000000000000000e+02,1
1.120000000000000000e+02,2
1.150000000000000000e+02,3
1.150000000000000000e+02,4
1.180000000000000000e+02,5
1.200000000000000000e+02,6
1.230000000000000000e+02,7
1.220000000000000000e+02,8
1.230000000000000000e+02,9
1.300000000000000000e+02,10
1.330000000000000000e+02,11
1.290000000000000000e+02,12
1.400000000000000000e+02,13
1.360000000000000000e+02,14
1.310000000000000000e+02,15
1.340000000000000000e+02,16
1.070000000000000000e+02,17
8.300000000000000000e+01,18
7.500000000000000000e+01,19
7.800000000000000000e+01,20
7.600000000000000000e+01,21
7.700000000000000000e+01,22
8.000000000000000000e+01,23
8.400000000000000000e+01,24
8.000000000000000000e+01,25
8.600000000000000000e+01,26
9.100000000000000000e+01,27
9.200000000000000000e+01,28
8.900000000000000000e+01,29
9.200000000000000000e+01,30
8.600000000000000000e+01,31
8.900000000000000000e+01,32
9.100000000000000000e+01,33
9.200000000000000000e+01,34
9.200000000000000000e+01,35
9.200000000000000000e+01,36
9.000000000000000000e+01,37
8.800000000000000000e+01,38
9.600000000000000000e+01,39
9.900000000000000000e+01,40
1.000000000000000000e+02,41
9.800000000000000000e+01,42
9.800000000000000000e+01,43
9.900000000000000000e+01,44
9.700000000000000000e+01,45
9.400000000000000000e+01,46
9.600000000000000000e+01,47
1.020000000000000000e+02,48
9.700000000000000000e+01,49
1.000000000000000000e+02,50
9.800000000000000000e+01,51
9.900000000000000000e+01,52
1.040000000000000000e+02,53
1.000000000000000000e+02,54
1.130000000000000000e+02,55
1.240000000000000000e+02,56
1.610000000000000000e+02,57
1.590000000000000000e+02,58
1.570000000000000000e+02,59
1.430000000000000000e+02,60
1.400000000000000000e+02,61
1.470000000000000000e+02,62
1.380000000000000000e+02,63
1.370000000000000000e+02,64
1.370000000000000000e+02,65
1.380000000000000000e+02,66
1.400000000000000000e+02,67
1.390000000000000000e+02,68
1.330000000000000000e+02,69
1.330000000000000000e+02,70
1.370000000000000000e+02,71
1.330000000000000000e+02,72
1.330000000000000000e+02,73
1.310000000000000000e+02,74
1.330000000000000000e+02,75
1.270000000000000000e+02,76
1.340000000000000000e+02,77
1.430000000000000000e+02,78
1.480000000000000000e+02,79
1.190000000000000000e+02,80
1.260000000000000000e+02,81
1.250000000000000000e+02,82
1.250000000000000000e+02,83
1.300000000000000000e+02,84
1.320000000000000000e+02,85
1.250000000000000000e+02,86
1.330000000000000000e+02,87
1.330000000000000000e+02,88
1.180000000000000000e+02,89
1.250000000000000000e+02,90
1.340000000000000000e+02,91
1.290000000000000000e+02,92
1.210000000000000000e+02,93
1.250000000000000000e+02,94
1.330000000000000000e+02,95
1.450000000000000000e+02,96
1.350000000000000000e+02,97
1.280000000000000000e+02,98
1.390000000000000000e+02,99
1.390000000000000000e+02,100
1.350000000000000000e+02,101
1.350000000000000000e+02,102
1.290000000000000000e+02,103
1.390000000000000000e+02,104
1.230000000000000000e+02,105
1.300000000000000000e+02,106
1.320000000000000000e+02,107
1.330000000000000000e+02,108
1.410000000000000000e+02,109
1.300000000000000000e+02,110
1.410000000000000000e+02,111
1.470000000000000000e+02,112
1.420000000000000000e+02,113
1.440000000000000000e+02,114
1.430000000000000000e+02,115
1.380000000000000000e+02,116
1.400000000000000000e+02,117
1.390000000000000000e+02,118
1.460000000000000000e+02,119
1.390000000000000000e+02,120
1.520000000000000000e+02,121
1.430000000000000000e+02,122
1.570000000000000000e+02,123
1.430000000000000000e+02,124
1.360000000000000000e+02,125
1.440000000000000000e+02,126
1.380000000000000000e+02,127
1.290000000000000000e+02,128
1.320000000000000000e+02,129
1.350000000000000000e+02,130
1.390000000000000000e+02,131
1.380000000000000000e+02,132
1.360000000000000000e+02,133
1.380000000000000000e+02,134
1.400000000000000000e+02,135
1.290000000000000000e+02,136
1.350000000000000000e+02,137
1.250000000000000000e+02,138
1.240000000000000000e+02,139
1.290000000000000000e+02,140
1.270000000000000000e+02,141
1.280000000000000000e+02,142
1.260000000000000000e+02,143
1.210000000000000000e+02,144
1.270000000000000000e+02,145
1.270000000000000000e+02,146
1.280000000000000000e+02,147
1.290000000000000000e+02,148
1.310000000000000000e+02,149
1.380000000000000000e+02,150
1.350000000000000000e+02,151
1.380000000000000000e+02,152
1.330000000000000000e+02,153
1.380000000000000000e+02,154
1.380000000000000000e+02,155
1.270000000000000000e+02,156
1.380000000000000000e+02,157
1.350000000000000000e+02,158
1.690000000000000000e+02,159
1.940000000000000000e+02,160
1.820000000000000000e+02,161
1.750000000000000000e+02,162
1.810000000000000000e+02,163
1.700000000000000000e+02,164
1.510000000000000000e+02,165
1.350000000000000000e+02,166
1.440000000000000000e+02,167
1.390000000000000000e+02,168
1.380000000000000000e+02,169
1.400000000000000000e+02,170
1.410000000000000000e+02,171
1.290000000000000000e+02,172
1.230000000000000000e+02,173
1.320000000000000000e+02,174
1.250000000000000000e+02,175
1.220000000000000000e+02,176
1.170000000000000000e+02,177
1.160000000000000000e+02,178
1.230000000000000000e+02,179
1.080000000000000000e+02,180
1.170000000000000000e+02,181
1.180000000000000000e+02,182
1.210000000000000000e+02,183
1.170000000000000000e+02,184
1.130000000000000000e+02,185
1.190000000000000000e+02,186
1.110000000000000000e+02,187
1.140000000000000000e+02,188
1.070000000000000000e+02,189
1.090000000000000000e+02,190
1.080000000000000000e+02,191
1.000000000000000000e+02,192
1.030000000000000000e+02,193
1.000000000000000000e+02,194
9.700000000000000000e+01,195
1.020000000000000000e+02,196
1.090000000000000000e+02,197
1.050000000000000000e+02,198
1.150000000000000000e+02,199
1.120000000000000000e+02,200
1.120000000000000000e+02,201
1.120000000000000000e+02,202
1.170000000000000000e+02,203
1.230000000000000000e+02,204
1.180000000000000000e+02,205
1.150000000000000000e+02,206
1.230000000000000000e+02,207
1.300000000000000000e+02,208
1.180000000000000000e+02,209
1.160000000000000000e+02,210
1.120000000000000000e+02,211
1.200000000000000000e+02,212
1.230000000000000000e+02,213
1.330000000000000000e+02,214
1.290000000000000000e+02,215
1.190000000000000000e+02,216
1.140000000000000000e+02,217
1.180000000000000000e+02,218
1.220000000000000000e+02,219
1.170000000000000000e+02,220
1.240000000000000000e+02,221
1.180000000000000000e+02,222
1.130000000000000000e+02,223
1.240000000000000000e+02,224
1.180000000000000000e+02,225
1.170000000000000000e+02,226
