1.910000000000000000e+02,1.910000000000000000e+02,1.910000000000000000e+02
1.990000000000000000e+02,1.990000000000000000e+02,1.990000000000000000e+02
2.010000000000000000e+02,2.010000000000000000e+02,2.010000000000000000e+02
2.180000000000000000e+02,2.180000000000000000e+02,2.180000000000000000e+02
2.480000000000000000e+02,2.480000000000000000e+02,2.480000000000000000e+02
1.480000000000000000e+02,1.480000000000000000e+02,1.480000000000000000e+02
1.490000000000000000e+02,1.490000000000000000e+02,1.490000000000000000e+02
1.260000000000000000e+02,1.260000000000000000e+02,1.260000000000000000e+02
2.410000000000000000e+02,2.410000000000000000e+02,2.410000000000000000e+02
1.840000000000000000e+02,1.840000000000000000e+02,1.840000000000000000e+02
1.690000000000000000e+02,1.690000000000000000e+02,1.690000000000000000e+02
1.600000000000000000e+02,1.600000000000000000e+02,1.600000000000000000e+02
1.690000000000000000e+02,1.690000000000000000e+02,1.690000000000000000e+02
1.970000000000000000e+02,1.970000000000000000e+02,1.970000000000000000e+02
2.170000000000000000e+02,2.170000000000000000e+02,2.170000000000000000e+02
1.880000000000000000e+02,1.880000000000000000e+02,1.880000000000000000e+02
1.180000000000000000e+02,1.180000000000000000e+02,1.180000000000000000e+02
1.720000000000000000e+02,1.720000000000000000e+02,1.720000000000000000e+02
1.300000000000000000e+02,1.300000000000000000e+02,1.300000000000000000e+02
1.790000000000000000e+02,1.790000000000000000e+02,1.790000000000000000e+02
